DataValue,NameEN,NamePT
CREATIVEEU,Creative Europe,Europa Criativa
CUST2020,Action programme for customs in the European Union (Customs 2020),Programa de ação no domínio aduaneiro na União Europeia (Alfândega 2020)
CUSTOMS,Cooperation in the field of customs (CUSTOMS),Cooperação no domínio aduaneiro (ALFÂNDEGA)
DCI2020,Development Cooperation Instrument (DCI),Instrumento de cooperação para o desenvolvimento (ICD)
DIGITALEU,Digital Europe Programme,Programa Europa Digital
E4A,"The Union programme for education, training, youth and sport (Erasmus+)","Programa da União para o Ensino, a Formação, a Juventude e o Desporto (Erasmus+)"
EAFRD,European Agricultural Fund for Rural Development (after transfers between EAGF and EAFRD),Fundo Europeu Agrícola de Desenvolvimento Rural (após transferências entre o FEAGA e o FEADER)
EAFRD_2021,European Agricultural Fund for Rural Development (EAFRD),Fundo Europeu Agrícola de Desenvolvimento Rural (FEADER)
EAFRD2020,European Agricultural Fund for Rural Development (EAFRD),Fundo Europeu Agrícola de Desenvolvimento Rural (FEADER)
EAGF_2021,European Agricultural Guarantee Fund (EAGF),Fundo Europeu Agrícola de Garantia (FEAGA)
EAGF2020,European Agricultural Guarantee Fund (EAGF),Fundo Europeu Agrícola de Garantia (FEAGA)
EAR2020,Emergency Aid Reserve (EAR),Reserva para Ajudas de Emergência (RAE)
EDF,European Defence Fund (EDF),Fundo Europeu de Defesa (FED)
EDIDP,European Defence Industrial Development Programme,Programa Europeu de Desenvolvimento Industrial no domínio da Defesa
EFSD,European Fund for Sustainable Development (EFSD),Fundo Europeu para o Desenvolvimento Sustentável (FEDS)
EFSI,European Fund for Strategic Investments (EFSI),Fundo Europeu para Investimentos Estratégicos (FEIE)
EGF_2021,European Globalisation Adjustment Fund (EGF),Fundo Europeu de Ajustamento à Globalização (FEG)
EGF2020,European Globalisation Adjustment Fund (EGF),Fundo Europeu de Ajustamento à Globalização (FEG)
EIDHR2020,European Instrument for Democracy and Human Rights (EIDHR),Instrumento Europeu para a Democracia e os Direitos Humanos (IEDDH)
EINS,European Instrument for Nuclear Safety (EINS),Instrumento Europeu para a Segurança Nuclear (IESN)
